id,x,y,z,dead_load,live_load,mass,record_disp,record_accel,story,primary_story,on_slab,fix
6280,1259,321,300,0,0,0,0,0,0,0,0,[000000]
6281,1283,321,300,0,0,0,0,0,0,0,0,[000000]
6282,1571,306,300,0,0,0,0,0,0,0,0,[000000]
6283,1559,321,300,0,0,0,0,0,0,0,0,[000000]
6284,71,306,600,0,0,0,0,0,0,0,0,[000000]
6285,83,321,600,0,0,0,0,0,0,0,0,[000000]
6286,371,306,600,0,0,0,0,0,0,0,0,[000000]
6287,359,321,600,0,0,0,0,0,0,0,0,[000000]
6288,383,321,600,0,0,0,0,0,0,0,0,[000000]
6289,671,306,600,0,0,0,0,0,0,0,0,[000000]
6290,659,321,600,0,0,0,0,0,0,0,0,[000000]
6291,683,321,600,0,0,0,0,0,0,0,0,[000000]
6292,971,306,600,0,0,0,0,0,0,0,0,[000000]
6293,959,321,600,0,0,0,0,0,0,0,0,[000000]
6294,983,321,600,0,0,0,0,0,0,0,0,[000000]
6295,1271,306,600,0,0,0,0,0,0,0,0,[000000]
6296,1259,321,600,0,0,0,0,0,0,0,0,[000000]
6297,1283,321,600,0,0,0,0,0,0,0,0,[000000]
6298,1571,306,600,0,0,0,0,0,0,0,0,[000000]
6299,1559,321,600,0,0,0,0,0,0,0,0,[000000]
6300,71,282,900,0,0,0,0,0,0,0,0,[000000]
6301,80,309,900,0,0,0,0,0,0,0,0,[000000]
6302,371,282,900,0,0,0,0,0,0,0,0,[000000]
6303,362,309,900,0,0,0,0,0,0,0,0,[000000]
6304,380,309,900,0,0,0,0,0,0,0,0,[000000]
6305,671,282,900,0,0,0,0,0,0,0,0,[000000]
6306,662,309,900,0,0,0,0,0,0,0,0,[000000]
6307,680,309,900,0,0,0,0,0,0,0,0,[000000]
6308,971,282,900,0,0,0,0,0,0,0,0,[000000]
6309,962,309,900,0,0,0,0,0,0,0,0,[000000]
6310,980,309,900,0,0,0,0,0,0,0,0,[000000]
6311,1271,282,900,0,0,0,0,0,0,0,0,[000000]
6312,1262,309,900,0,0,0,0,0,0,0,0,[000000]
6313,1280,309,900,0,0,0,0,0,0,0,0,[000000]
6314,1571,282,900,0,0,0,0,0,0,0,0,[000000]
6315,1562,309,900,0,0,0,0,0,0,0,0,[000000]
6316,71,444,0,0,0,0,0,0,0,0,0,[000000]
6317,80,471,0,0,0,0,0,0,0,0,0,[000000]
6318,371,444,0,0,0,0,0,0,0,0,0,[000000]
6319,362,471,0,0,0,0,0,0,0,0,0,[000000]
6320,380,471,0,0,0,0,0,0,0,0,0,[000000]
6321,671,444,0,0,0,0,0,0,0,0,0,[000000]
6322,662,471,0,0,0,0,0,0,0,0,0,[000000]
6323,680,471,0,0,0,0,0,0,0,0,0,[000000]
6324,971,444,0,0,0,0,0,0,0,0,0,[000000]
6325,962,471,0,0,0,0,0,0,0,0,0,[000000]
6326,980,471,0,0,0,0,0,0,0,0,0,[000000]
6327,1271,444,0,0,0,0,0,0,0,0,0,[000000]
6328,1262,471,0,0,0,0,0,0,0,0,0,[000000]
6329,1280,471,0,0,0,0,0,0,0,0,0,[000000]
6330,1571,444,0,0,0,0,0,0,0,0,0,[000000]
6331,1562,471,0,0,0,0,0,0,0,0,0,[000000]
6332,71,468,300,0,0,0,0,0,0,0,0,[000000]
6333,83,483,300,0,0,0,0,0,0,0,0,[000000]
6334,371,468,300,0,0,0,0,0,0,0,0,[000000]
6335,359,483,300,0,0,0,0,0,0,0,0,[000000]
6336,383,483,300,0,0,0,0,0,0,0,0,[000000]
6337,671,468,300,0,0,0,0,0,0,0,0,[000000]
6338,659,483,300,0,0,0,0,0,0,0,0,[000000]
6339,683,483,300,0,0,0,0,0,0,0,0,[000000]
6340,971,468,300,0,0,0,0,0,0,0,0,[000000]
6341,959,483,300,0,0,0,0,0,0,0,0,[000000]
6342,983,483,300,0,0,0,0,0,0,0,0,[000000]
6343,1271,468,300,0,0,0,0,0,0,0,0,[000000]
6344,1259,483,300,0,0,0,0,0,0,0,0,[000000]
6345,1283,483,300,0,0,0,0,0,0,0,0,[000000]
6346,1571,468,300,0,0,0,0,0,0,0,0,[000000]
6347,1559,483,300,0,0,0,0,0,0,0,0,[000000]
6348,71,468,600,0,0,0,0,0,0,0,0,[000000]
6349,83,483,600,0,0,0,0,0,0,0,0,[000000]
6350,371,468,600,0,0,0,0,0,0,0,0,[000000]
6351,359,483,600,0,0,0,0,0,0,0,0,[000000]
6352,383,483,600,0,0,0,0,0,0,0,0,[000000]
6353,671,468,600,0,0,0,0,0,0,0,0,[000000]
6354,659,483,600,0,0,0,0,0,0,0,0,[000000]
6355,683,483,600,0,0,0,0,0,0,0,0,[000000]
6356,971,468,600,0,0,0,0,0,0,0,0,[000000]
6357,959,483,600,0,0,0,0,0,0,0,0,[000000]
6358,983,483,600,0,0,0,0,0,0,0,0,[000000]
6359,1271,468,600,0,0,0,0,0,0,0,0,[000000]
6360,1259,483,600,0,0,0,0,0,0,0,0,[000000]
6361,1283,483,600,0,0,0,0,0,0,0,0,[000000]
6362,1571,468,600,0,0,0,0,0,0,0,0,[000000]
6363,1559,483,600,0,0,0,0,0,0,0,0,[000000]
6364,71,444,900,0,0,0,0,0,0,0,0,[000000]
6365,80,471,900,0,0,0,0,0,0,0,0,[000000]
